Companies,Symbols,Ratings,Risk
"Adicet Bio, Inc.",NAS:ACET,26.6,Medium ESG Risk
adidas AG,ETR:ADS,14.6,Low ESG Risk
Adient plc,NYS:ADNT,16.0,Low ESG Risk
Adimmune Corp.,TAI:4142,26.7,Medium ESG Risk
Aditya Birla Capital Ltd.,BOM:540691,12.4,Low ESG Risk
Aditya Birla Fashion & Retail Ltd.,BOM:535755,13.3,Low ESG Risk
ADLER Group SA,ETR:ADJ,22.8,Medium ESG Risk
"Adlink Technology, Inc.",TAI:6166,20.8,Medium ESG Risk
"ADMA Biologics, Inc.",NAS:ADMA,34.8,High ESG Risk
Admie Holdings (IPTO) SA,ATH:ADMIE,31.8,High ESG Risk
Admiral Group Plc,LON:ADM,24.2,Medium ESG Risk
ADNOC Drilling Co. PJSC,ADS:ADNOCDRILL,21.9,Medium ESG Risk
"Adobe, Inc.",NAS:ADBE,14.9,Low ESG Risk
Adolf Würth GmbH & Co. KG,-,26.0,Medium ESG Risk
ADS-TEC Energy Plc,NAS:ADSE,28.5,Medium ESG Risk
"ADT, Inc.",NYS:ADT,22.3,Medium ESG Risk
"Adtalem Global Education, Inc.",NYS:ATGE,10.9,Low ESG Risk
"ADTRAN Holdings, Inc.",NAS:ADTN,19.0,Low ESG Risk
Adtran Networks SE,ETR:ADV,11.1,Low ESG Risk
"ADVAN GROUP CO., LTD",TKS:7463,26.1,Medium ESG Risk
"Advance Auto Parts, Inc.",NYS:AAP,11.2,Low ESG Risk
Advance Logistics Investment Corp.,TKS:3493,14.6,Low ESG Risk
Advance Residence Investment Corp.,TKS:3269,16.2,Low ESG Risk
Advanced Ceramic X Corp.,ROCO:3152,17.4,Low ESG Risk
"Advanced Drainage Systems, Inc.",NYS:WMS,26.7,Medium ESG Risk
"Advanced Energy Industries, Inc.",NAS:AEIS,17.8,Low ESG Risk
"Advanced Energy Solution Holding Co., Ltd.",TAI:6781,25.3,Medium ESG Risk
Advanced Enzyme Technologies Ltd.,BOM:540025,34.0,High ESG Risk
"Advanced Info Service Public Co., Ltd.",BKK:ADVANC,21.6,Medium ESG Risk
Advanced International Multitech Co. Ltd.,ROCO:8938,11.5,Low ESG Risk
Advanced Medical Solutions Group Plc,LON:AMS,14.3,Low ESG Risk
"Advanced Micro Devices, Inc.",NAS:AMD,15.0,Low ESG Risk
"Advanced Micro Fabrication Equipment, Inc. China",SHG:688012,24.5,Medium ESG Risk
"Advanced Nano Products Co., Ltd.",KRX:121600,36.6,High ESG Risk
Advanced Petrochemical Co.,SAU:2330,27.8,Medium ESG Risk
Advanced Process Systems Corp.,KRX:265520,29.1,Medium ESG Risk
"Advanced Technology & Materials Co., Ltd.",SHE:000969,53.0,Severe ESG Risk
Advanced Wireless Semiconductor Co.,ROCO:8086,20.6,Medium ESG Risk
Advancetek Enterprise Co. Ltd.,TAI:1442,19.4,Low ESG Risk
"Advansix, Inc.",NYS:ASIX,23.9,Medium ESG Risk
Advantage Energy Ltd.,TSE:AAV,40.0,High ESG Risk
"Advantage Solutions, Inc. (California)",NAS:ADV,18.4,Low ESG Risk
"Advantech Co., Ltd.",TAI:2395,19.3,Low ESG Risk
Advantest Corp.,TKS:6857,16.5,Low ESG Risk
"Adventure, Inc.",TKS:6030,33.7,High ESG Risk
ADvTECH Ltd.,JSE:ADH,17.2,Low ESG Risk
Adyen NV,AMS:ADYEN,16.2,Low ESG Risk
"AECC Aero-engine Control Co., Ltd.",SHE:000738,44.2,Severe ESG Risk
"AECC Aviation Power Co., Ltd.",SHG:600893,48.8,Severe ESG Risk
AECI Ltd.,JSE:AFE,28.5,Medium ESG Risk
AECOM,NYS:ACM,29.8,Medium ESG Risk
"Aecon Group, Inc.",TSE:ARE,29.9,Medium ESG Risk
AEDAS Homes SA,MCE:AEDAS,10.9,Low ESG Risk
Aedifica SA,BRU:AED,11.0,Low ESG Risk
Aegea Saneamento e Participaçoes SA,-,12.6,Low ESG Risk
Aegean Airlines SA,ATH:AEGN,29.0,Medium ESG Risk
Aegis Logistics Ltd.,BOM:500003,38.6,High ESG Risk
Aegon Ltd.,AMS:AGN,15.3,Low ESG Risk
Aehr Test Systems,NAS:AEHR,22.2,Medium ESG Risk
"Aekyung Industrial Co., Ltd.",KRX:018250,32.6,High ESG Risk
AEM Holdings Ltd.,SES:AWX,17.5,Low ESG Risk
Aena S.M.E. SA,MCE:AENA,8.9,Negligible ESG Risk
AEON Co. (Malaysia) Bhd.,KLS:6599,17.2,Low ESG Risk
"AEON Co., Ltd.",TKS:8267,24.5,Medium ESG Risk
AEON Credit Service (M) Bhd.,KLS:5139,22.5,Medium ESG Risk
"AEON DELIGHT CO., LTD.",TKS:9787,25.3,Medium ESG Risk
"AEON Fantasy Co., Ltd.",TKS:4343,31.7,High ESG Risk
"AEON Financial Service Co., Ltd.",TKS:8570,31.4,High ESG Risk
AEON Hokkaido Corp.,TKS:7512,20.5,Medium ESG Risk
"AEON Mall Co., Ltd.",TKS:8905,22.0,Medium ESG Risk
AEON REIT Investment Corp.,TKS:3292,18.3,Low ESG Risk
AEON Thana Sinsap (Thailand) Public Co. Ltd.,BKK:AEONTS,24.2,Medium ESG Risk
"AEP Texas, Inc.",-,29.5,Medium ESG Risk
AEP Transmission Co. LLC,-,44.6,Severe ESG Risk
AerCap Holdings NV,NYS:AER,20.0,Medium ESG Risk
Aeroporti di Roma SpA,-,13.9,Low ESG Risk
Aéroports de Montréal,-,17.0,Low ESG Risk
Aéroports de Paris ADP,PAR:ADP,18.1,Low ESG Risk
Aeropuerto Internacional De La Ciudad De México S.A. de C.V.,-,22.2,Medium ESG Risk
Aeropuertos Dominicanos Siglo XXI SA,-,23.7,Medium ESG Risk
"Aerospace Hi-Tech Holding Group Co., Ltd.",SHE:000901,28.9,Medium ESG Risk
"Aerovate Therapeutics, Inc.",NAS:AVTE,30.3,High ESG Risk
"AeroVironment, Inc.",NAS:AVAV,31.7,High ESG Risk
AerSale Corp.,NAS:ASLE,27.7,Medium ESG Risk
AES Andes SA,SGO:AESANDES,36.0,High ESG Risk
AES Argentina Generación SA,-,17.1,Low ESG Risk
AES Brasil Energia SA,BSP:AESB3,10.1,Low ESG Risk
"Aeva Technologies, Inc.",NYS:AEVA,37.2,High ESG Risk
AEW UK REIT Plc,LON:AEWU,16.5,Low ESG Risk
AF Gruppen ASA,OSL:AFG,33.8,High ESG Risk
"AFC Gamma, Inc.",NAS:AFCG,29.8,Medium ESG Risk
"Affiliated Managers Group, Inc.",NYS:AMG,21.1,Medium ESG Risk
Affin Bank Bhd.,KLS:5185,27.1,Medium ESG Risk
Affinity Water Ltd.,-,27.5,Medium ESG Risk
"Affirm Holdings, Inc.",NAS:AFRM,27.5,Medium ESG Risk
Affle (India) Ltd.,BOM:542752,20.5,Medium ESG Risk
Affordable Housing Finance Plc,-,29.3,Medium ESG Risk
AFI Properties Ltd.,TAE:AFPR,24.4,Medium ESG Risk
"Aflac, Inc.",NYS:AFL,18.3,Low ESG Risk
"AfreecaTV Co., Ltd.",KRX:067160,20.8,Medium ESG Risk
Africa Finance Corp.,-,14.5,Low ESG Risk
Africa Israel Residences Ltd.,TAE:AFRE,24.5,Medium ESG Risk
Africa Oil Corp.,TSE:AOI,43.9,Severe ESG Risk
African Export-Import Bank,MAU:AEIB.N0004,39.4,High ESG Risk
African Rainbow Minerals Ltd.,JSE:ARI,33.6,High ESG Risk
Afrimat Ltd.,JSE:AFT,30.5,High ESG Risk
AFRY AB,OME:AFRY,22.7,Medium ESG Risk
After You Public Co. Ltd.,BKK:AU,33.2,High ESG Risk
AG Anadolu Grubu Holding AS,IST:AGHOL.E,31.5,High ESG Risk
"Ag Growth International, Inc.",TSE:AFN,22.1,Medium ESG Risk
"AGC, Inc. (Japan)",TKS:5201,22.2,Medium ESG Risk
AGCO Corp.,NYS:AGCO,17.6,Low ESG Risk
ageas SA/NV,BRU:AGS,16.2,Low ESG Risk
Agence Française de Développement,-,11.2,Low ESG Risk
Agence France Locale Société anonyme,-,18.3,Low ESG Risk
"Agenus, Inc.",NAS:AGEN,27.6,Medium ESG Risk
Agfa-Gevaert NV,BRU:AGFB,14.3,Low ESG Risk
Agile Group Holdings Ltd.,HKG:3383,17.5,Low ESG Risk
"Agilent Technologies, Inc.",NYS:A,13.3,Low ESG Risk
"Agiliti, Inc. (Minnesota)",NYS:AGTI,21.2,Medium ESG Risk
Agility Public Warehousing Co. KSC,KUW:AGLTY,20.7,Medium ESG Risk
"Agilon Health, Inc.",NYS:AGL,26.0,Medium ESG Risk
"Agilysys, Inc.",NAS:AGYS,13.2,Low ESG Risk
"Agios Pharmaceuticals, Inc.",NAS:AGIO,23.7,Medium ESG Risk
AGL Energy Ltd.,ASX:AGL,35.6,High ESG Risk
AGNC Investment Corp.,NAS:AGNC,9.4,Negligible ESG Risk
Agnico Eagle Mines Ltd.,TSE:AEM,21.4,Medium ESG Risk
"Agora, Inc. (China)",NAS:API,25.9,Medium ESG Risk
AGRANA Beteiligungs-AG,WBO:AGR,29.7,Medium ESG Risk
Agree Realty Corp.,NYS:ADC,15.2,Low ESG Risk
Agricultural Bank of China (London Branch),-,26.1,Medium ESG Risk
Agricultural Bank of China Ltd.,HKG:1288,32.4,High ESG Risk
Agricultural Bank of China Ltd. (Singapore Branch),-,28.8,Medium ESG Risk
Agricultural Development Bank of China,-,19.7,Low ESG Risk
Agritrade Resources Ltd.,-,55.7,Severe ESG Risk
Agrosuper SA,-,34.1,High ESG Risk
Agthia Group PJSC,ADS:AGTHIA,30.9,High ESG Risk
Agua y Saneamientos Argentinos SA,-,37.1,High ESG Risk
Aguas Andinas SA,SGO:AGUAS.A,22.0,Medium ESG Risk
AGV Products Corp.,TAI:1217,33.0,High ESG Risk
Ahli Bank QPSC,DSMD:ABQK,35.1,High ESG Risk
