Companies,Symbols,Ratings,Risk
International Bank for Reconstruction & Development,-,8.0,Negligible ESG Risk
International Bank of Azerbaijan OJSC,-,34.4,High ESG Risk
International Business Machines Corp.,NYS:IBM,14.3,Low ESG Risk
International Consolidated Airlines Group SA,LON:IAG,25.7,Medium ESG Risk
"International Container Terminal Services, Inc.",PHS:ICT,16.1,Low ESG Risk
International CSRC Investment Holdings Co. Ltd.,TAI:2104,33.3,High ESG Risk
International Distributions Services plc,LON:IDS,17.4,Low ESG Risk
International Finance Corp.,-,8.4,Negligible ESG Risk
International Finance Facility for Immunisation Co.,-,20.0,Low ESG Risk
"International Flavors & Fragrances, Inc.",NYS:IFF,23.6,Medium ESG Risk
International Game Technology PLC,NYS:IGT,15.5,Low ESG Risk
"International Games System Co., Ltd.",ROCO:3293,18.0,Low ESG Risk
International Holding Co. PJSC,ADS:IHC,33.9,High ESG Risk
"International Money Express, Inc.",NAS:IMXI,33.6,High ESG Risk
International Paper Co.,NYS:IP,24.0,Medium ESG Risk
International Personal Finance Plc,LON:IPF,27.5,Medium ESG Risk
International Petroleum Corp.,TSE:IPCO,38.7,High ESG Risk
International Public Partnerships Limited,LON:INPP,29.1,Medium ESG Risk
"International Seaways, Inc.",NYS:INSW,41.0,Severe ESG Risk
"Internet Initiative Japan, Inc.",TKS:3774,23.4,Medium ESG Risk
Interparfums,PAR:ITP,24.8,Medium ESG Risk
Interpipe Holdings Plc,-,36.9,High ESG Risk
"Interpublic Group of Cos., Inc.",NYS:IPG,9.7,Negligible ESG Risk
Interpump Group SpA,MIL:IP,26.0,Medium ESG Risk
InterRent Real Estate Investment Trust,TSE:IIP.UT,16.5,Low ESG Risk
Interroll Holding AG,SWX:INRN,21.5,Medium ESG Risk
Intershop Holding AG,SWX:ISN,14.6,Low ESG Risk
Interstate Power & Light Co.,-,29.8,Medium ESG Risk
Intertek Group Plc,LON:ITRK,18.3,Low ESG Risk
Intervest Offices & Warehouses SA,BRU:INTO,10.6,Low ESG Risk
Intesa Sanpaolo SpA,MIL:ISP,10.9,Low ESG Risk
inTEST Corp.,ASE:INTT,19.7,Low ESG Risk
"Intops Co., Ltd.",KRX:049070,27.4,Medium ESG Risk
Intouch Holdings Public Co. Ltd.,BKK:INTUCH,27.9,Medium ESG Risk
"Intra-Cellular Therapies, Inc.",NAS:ITCI,34.6,High ESG Risk
INTRALOT SA,ATH:INLOT,26.1,Medium ESG Risk
"Intrepid Potash, Inc.",NYS:IPI,39.1,High ESG Risk
"iNtRON Biotechnology, Inc.",KRX:048530,28.6,Medium ESG Risk
Intron Technology Holdings Ltd.,HKG:1760,23.7,Medium ESG Risk
Intrum AB,OME:INTRUM,14.7,Low ESG Risk
"Intuit, Inc.",NAS:INTU,17.9,Low ESG Risk
"Intuitive Surgical, Inc.",NAS:ISRG,21.1,Medium ESG Risk
"Inui Global Logistics Co., Ltd.",TKS:9308,22.4,Medium ESG Risk
Inventec Corp.,TAI:2356,15.2,Low ESG Risk
InvenTrust Properties Corp.,NYS:IVT,12.6,Low ESG Risk
Inversiones Aguas Metropolitanas SA,SGO:IAM,25.3,Medium ESG Risk
Inversiones Atlantida SA,-,36.2,High ESG Risk
Inversiones CMPC SA,-,19.1,Low ESG Risk
Inversiones La Construccion SA,SGO:ILC,11.2,Low ESG Risk
Inversiones Latin America Power Ltd.,-,31.0,High ESG Risk
Invesco Ltd.,NYS:IVZ,22.7,Medium ESG Risk
"Invesco Mortgage Capital, Inc.",NYS:IVR,17.5,Low ESG Risk
InvestCo Holding AS,IST:INVES.E,39.6,High ESG Risk
Investec Plc,LON:INVP,16.0,Low ESG Risk
Investis Holding SA,SWX:IREN,20.8,Medium ESG Risk
Investitionsbank Berlin,-,12.7,Low ESG Risk
Investitionsbank des Landes Brandenburg,-,27.4,Medium ESG Risk
Investitionsbank Schleswig-Holstein,-,16.9,Low ESG Risk
Investment AB Latour,OME:LATO.B,15.9,Low ESG Risk
Investment AB Öresund,OME:ORES,14.5,Low ESG Risk
Investment Energy Resources Ltd.,-,28.3,Medium ESG Risk
Investor AB,OME:INVE.B,9.7,Negligible ESG Risk
Investore Property Ltd.,NZE:IPL,17.5,Low ESG Risk
Investors Title Co.,NAS:ITIC,29.4,Medium ESG Risk
Invincible Investment Corp.,TKS:8963,17.4,Low ESG Risk
INVISIO AB,OME:IVSO,18.1,Low ESG Risk
Invitae Corp.,OTC:NVTAQ,23.9,Medium ESG Risk
"Invitation Homes, Inc.",NYS:INVH,17.0,Low ESG Risk
InvoCare Ltd.,-,15.7,Low ESG Risk
Inwido AB,OME:INWI,23.1,Medium ESG Risk
Iochpe-Maxion SA,BSP:MYPK3,17.4,Low ESG Risk
IOI Corp. Bhd.,KLS:1961,24.7,Medium ESG Risk
IOI Properties Group Bhd.,KLS:5249,13.1,Low ESG Risk
Ion Beam Applications SA,BRU:IBAB,26.3,Medium ESG Risk
Ion Exchange (India) Ltd.,BOM:500214,29.4,Medium ESG Risk
ioneer Ltd.,ASX:INR,43.0,Severe ESG Risk
"Ionis Pharmaceuticals, Inc.",NAS:IONS,26.4,Medium ESG Risk
"IonQ, Inc.",NYS:IONQ,20.0,Medium ESG Risk
"Iovance Biotherapeutics, Inc.",NAS:IOVA,28.2,Medium ESG Risk
IP Group Plc,LON:IPO,16.7,Low ESG Risk
Ipca Laboratories Ltd.,BOM:524494,30.8,High ESG Risk
Ipek Dogal Enerji Kaynaklari Arastirma ve Üretim AS,IST:IPEKE.E,49.8,Severe ESG Risk
IPG Photonics Corp.,NAS:IPGP,11.4,Low ESG Risk
IPH Ltd.,ASX:IPH,23.3,Medium ESG Risk
Ipoteka-Bank,-,35.6,High ESG Risk
Ipsen SA,PAR:IPN,25.6,Medium ESG Risk
Ipsos SA,PAR:IPS,20.8,Medium ESG Risk
"iQIYI, Inc.",NAS:IQ,18.9,Low ESG Risk
"IQVIA Holdings, Inc.",NYS:IQV,18.4,Low ESG Risk
IR Japan Holdings Ltd.,TKS:6035,21.3,Medium ESG Risk
IRadimed Corp.,NAS:IRMD,30.1,High ESG Risk
"iRay Technology Co., Ltd.",SHG:688301,38.4,High ESG Risk
IRB Brasil Resseguros SA,BSP:IRBR3,34.9,High ESG Risk
IRB Infrastructure Developers Ltd.,BOM:532947,33.5,High ESG Risk
IRB InvIT Fund,BOM:540526,23.1,Medium ESG Risk
IRCON International Ltd.,BOM:541956,38.3,High ESG Risk
Iren SpA,MIL:IRE,20.1,Medium ESG Risk
Iress Ltd.,ASX:IRE,14.2,Low ESG Risk
"iRhythm Technologies, Inc.",NAS:IRTC,27.8,Medium ESG Risk
"Iridium Communications, Inc.",NAS:IRDM,27.8,Medium ESG Risk
Irish Continental Group Plc,DUB:IR5B,22.4,Medium ESG Risk
Irish Residential Properties REIT Plc,DUB:IRES,12.2,Low ESG Risk
"IRISO Electronics Co., Ltd.",TKS:6908,23.8,Medium ESG Risk
IRLAB Therapeutics AB,OME:IRLAB.A,36.0,High ESG Risk
iRobot Corp.,NAS:IRBT,24.3,Medium ESG Risk
"Iron Force Industrial Co., Ltd.",TAI:2228,21.5,Medium ESG Risk
"Iron Mountain, Inc.",NYS:IRM,12.5,Low ESG Risk
"Ironwood Pharmaceuticals, Inc.",NAS:IRWD,18.9,Low ESG Risk
"IRPC Public Co., Ltd.",BKK:IRPC,36.0,High ESG Risk
Irras AB,-,30.9,High ESG Risk
"IS DONGSEO Co., Ltd.",KRX:010780,27.2,Medium ESG Risk
Is Finansal Kiralama AS,IST:ISFIN.E,28.4,Medium ESG Risk
Is Gayrimenkul Yatirim Ortakligi AS,IST:ISGYO.E,17.5,Low ESG Risk
Is Yatirim Menkul Degerler AS,IST:ISMEN.E,31.7,High ESG Risk
"ISC Co., Ltd.",KRX:095340,25.6,Medium ESG Risk
"Iseki & Co., Ltd.",TKS:6310,24.1,Medium ESG Risk
Isetan Mitsukoshi Holdings Ltd.,TKS:3099,25.4,Medium ESG Risk
ISGEC Heavy Engineering Ltd.,BOM:533033,32.0,High ESG Risk
ISHIHARA SANGYO KAISHA LTD.,TKS:4028,37.5,High ESG Risk
Iskenderun Demir ve Çelik AS,IST:ISDMR.E,29.1,Medium ESG Risk
Íslandsbanki hf,ICE:ISB,24.8,Medium ESG Risk
Isofol Medical AB,OME:ISOFOL,36.7,High ESG Risk
Isracard Ltd.,TAE:ISCD,23.7,Medium ESG Risk
Israel Canada (T.R) Ltd.,TAE:ISCN,21.4,Medium ESG Risk
Israel Corp. Ltd.,TAE:ILCO,54.9,Severe ESG Risk
Israel Discount Bank Ltd.,TAE:DSCT,25.4,Medium ESG Risk
Isras Investment Co. Ltd.,TAE:ISRS,23.9,Medium ESG Risk
Isrotel Ltd.,TAE:ISRO,36.4,High ESG Risk
ISS A/S,CSE:ISS,13.5,Low ESG Risk
"istyle, Inc.",TKS:3660,29.4,Medium ESG Risk
Isuzu Motors Ltd.,TKS:7202,26.8,Medium ESG Risk
ITAB Shop Concept AB,OME:ITAB,12.7,Low ESG Risk
Italgas SpA,MIL:IG,16.9,Low ESG Risk
"Italian-Thai Development Public Co., Ltd.",BKK:ITD,48.0,Severe ESG Risk
Italmobiliare SpA,MIL:ITM,9.7,Negligible ESG Risk
Italtile Ltd.,JSE:ITE,15.7,Low ESG Risk
Itaú Unibanco Holding SA,BSP:ITUB4,24.8,Medium ESG Risk
Itausa SA,BSP:ITSA4,14.3,Low ESG Risk
ITC Holdings Corp.,-,41.2,Severe ESG Risk
ITC Ltd.,BOM:500875,30.7,High ESG Risk
"Itochu-Shokuhin Co., Ltd.",TKS:2692,16.0,Low ESG Risk
"Itoham Yonekyu Holdings, Inc.",TKS:2296,32.1,High ESG Risk
ITR Concession Co. LLC,-,12.3,Low ESG Risk
"Itron, Inc.",NAS:ITRI,9.2,Negligible ESG Risk
"ITT, Inc.",NYS:ITT,23.9,Medium ESG Risk
Ituran Location & Control Ltd.,NAS:ITRN,19.2,Low ESG Risk
ITV Plc,LON:ITV,11.6,Low ESG Risk
"Ivanhoé Cambridge, Inc.",-,18.1,Low ESG Risk
"Ivanhoe Electric, Inc.",ASE:IE,50.4,Severe ESG Risk
Ivanhoe Mines Ltd.,TSE:IVN,27.7,Medium ESG Risk
Iveco Group NV,MIL:IVG,21.0,Medium ESG Risk
"IVERIC bio, Inc.",-,23.3,Medium ESG Risk
IVS Group SA,MIL:IVS,23.7,Medium ESG Risk
Iwatani Corp.,TKS:8088,30.8,High ESG Risk
IWG Plc,LON:IWG,9.1,Negligible ESG Risk
Izmir Demir Celik Sanayi Anonim Sirketi,IST:IZMDC.E,46.8,Severe ESG Risk
"Izumi Co., Ltd.",TKS:8273,21.4,Medium ESG Risk
J Sainsbury Plc,LON:SBRY,20.7,Medium ESG Risk
"J Trust Co., Ltd.",TKS:8508,31.2,High ESG Risk
"J-Oil Mills, Inc.",TKS:2613,29.8,Medium ESG Risk
"J. FRONT RETAILING Co., Ltd.",TKS:3086,19.4,Low ESG Risk
J. Kumar Infraprojects Ltd.,BOM:532940,35.4,High ESG Risk
J.B. Chemicals & Pharmaceuticals Ltd.,BOM:506943,27.2,Medium ESG Risk
"J.B. Hunt Transport Services, Inc.",NAS:JBHT,14.8,Low ESG Risk
"J.Jill, Inc.",NYS:JILL,17.7,Low ESG Risk
J.K. Cement Ltd.,BOM:532644,29.1,Medium ESG Risk
"J.S. Corrugating Machinery Co., Ltd.",SHE:000821,35.5,High ESG Risk
J&J Snack Foods Corp.,NAS:JJSF,37.4,High ESG Risk
"JA Solar Technology Co., Ltd.",SHE:002459,30.5,High ESG Risk
JAB Holding Co. SARL,-,3.3,Negligible ESG Risk
"Jabil, Inc.",NYS:JBL,11.1,Low ESG Risk
"JAC Recruitment Co., Ltd.",TKS:2124,15.2,Low ESG Risk
"JACCS Co., Ltd.",TKS:8584,26.6,Medium ESG Risk
"Jack Henry & Associates, Inc.",NAS:JKHY,18.7,Low ESG Risk
"Jack in the Box, Inc.",NAS:JACK,28.5,Medium ESG Risk
"Jackson Financial, Inc.",NYS:JXN,26.4,Medium ESG Risk
Jackson National Life Insurance Co.,-,26.2,Medium ESG Risk
"Jacobio Pharmaceuticals Group Co., Ltd.",HKG:1167,24.5,Medium ESG Risk
"Jacobs Engineering Group, Inc.",-,23.1,Medium ESG Risk
"Jacobs Solutions, Inc.",NYS:J,28.5,Medium ESG Risk
Jacquet Metals SA,PAR:JCQ,28.1,Medium ESG Risk
"Jade Bird Fire Co., Ltd.",SHE:002960,26.0,Medium ESG Risk
"JAFCO Group Co., Ltd.",TKS:8595,30.8,High ESG Risk
"Jafron Biomedical Co., Ltd.",SHE:300529,37.3,High ESG Risk
Jaguar Land Rover Automotive Plc,-,15.6,Low ESG Risk
Jahez International Co. for Information Systems Technology,SAU:9526,35.1,High ESG Risk
"Jahwa Electronics Co., Ltd.",KRX:033240,30.2,High ESG Risk
Jain Irrigation Systems Ltd.,BOM:500219,25.7,Medium ESG Risk
Jaiprakash Power Ventures Ltd.,BOM:532627,51.1,Severe ESG Risk
"JAKKS Pacific, Inc.",NAS:JAKK,13.6,Low ESG Risk
Jalles Machado SA,BSP:JALL3,35.1,High ESG Risk
JAMCO Corp.,TKS:7408,38.8,High ESG Risk
James Fisher & Sons Plc,LON:FSJ,20.6,Medium ESG Risk
James Halstead Plc,LON:JHD,28.1,Medium ESG Risk
James Hardie Industries Plc,ASX:JHX,28.2,Medium ESG Risk
James River Group Holdings Ltd.,NAS:JRVR,38.4,High ESG Risk
Jamf Holding Corp.,NAS:JAMF,18.8,Low ESG Risk
"Jamieson Wellness, Inc.",TSE:JWEL,35.3,High ESG Risk
Jammu & Kashmir Bank Ltd.,BOM:532209,30.4,High ESG Risk
Jamna Auto Industries Ltd.,BOM:520051,21.8,Medium ESG Risk
Janus Henderson Group Plc,NYS:JHG,19.2,Low ESG Risk
"Janus International Group, Inc.",NYS:JBI,30.3,High ESG Risk
"Janux Therapeutics, Inc.",NAS:JANX,28.8,Medium ESG Risk
"Japan Airlines Co., Ltd.",TKS:9201,26.4,Medium ESG Risk
"Japan Airport Terminal Co., Ltd.",TKS:9706,26.0,Medium ESG Risk
Japan Aviation Electronics Industry Ltd.,TKS:6807,23.0,Medium ESG Risk
Japan Bank for International Cooperation,-,16.3,Low ESG Risk
"Japan Best Rescue System Co., Ltd.",TKS:2453,18.5,Low ESG Risk
"Japan Display, Inc.",TKS:6740,24.1,Medium ESG Risk
"Japan Elevator Service Holdings Co., Ltd.",TKS:6544,40.1,Severe ESG Risk
"Japan Excellent, Inc.",TKS:8987,16.3,Low ESG Risk
"Japan Exchange Group, Inc.",TKS:8697,20.6,Medium ESG Risk
Japan Expressway Holding & Debt Repayment Agency,-,29.6,Medium ESG Risk
Japan Finance Corp.,-,26.1,Medium ESG Risk
Japan Highway Public Corp.,-,45.7,Severe ESG Risk
Japan Hotel REIT Investment Corp.,TKS:8985,16.6,Low ESG Risk
Japan Housing Finance Agency,-,24.9,Medium ESG Risk
Japan International Cooperation Agency,-,25.7,Medium ESG Risk
"Japan Lifeline Co., Ltd.",TKS:7575,17.7,Low ESG Risk
"Japan Logistics Fund, Inc.",TKS:8967,12.3,Low ESG Risk
"Japan Material Co., Ltd.",TKS:6055,20.0,Low ESG Risk
"Japan Medical Dynamic Marketing, Inc.",TKS:7600,18.3,Low ESG Risk
Japan Metropolitan Fund Investment Corp.,TKS:8953,13.8,Low ESG Risk
"Japan Petroleum Exploration Co., Ltd.",TKS:1662,36.7,High ESG Risk
"Japan Post Bank Co., Ltd.",TKS:7182,19.5,Low ESG Risk
"Japan Post Holdings Co., Ltd.",TKS:6178,24.8,Medium ESG Risk
"JAPAN POST INSURANCE Co., Ltd.",TKS:7181,24.8,Medium ESG Risk
Japan Prime Realty Investment Corp.,TKS:8955,12.8,Low ESG Risk
"Japan Pulp & Paper Co., Ltd.",TKS:8032,27.9,Medium ESG Risk
Japan Railway Construction Transport & Technology Agency,-,12.2,Low ESG Risk
Japan Real Estate Investment Corp.,TKS:8952,11.9,Low ESG Risk
"Japan Securities Finance Co., Ltd.",TKS:8511,33.3,High ESG Risk
"Japan Tobacco, Inc.",TKS:2914,28.6,Medium ESG Risk
Japan Transcity Corp.,TKS:9310,26.1,Medium ESG Risk
Jardine Cycle & Carriage Ltd.,SES:C07,32.8,High ESG Risk
Jardine Matheson Holdings Ltd.,SES:J36,38.2,High ESG Risk
Jarir Marketing Co.,SAU:4190,19.3,Low ESG Risk
Jasmine International Public Co. Ltd.,BKK:JAS,33.9,High ESG Risk
Jasmine Technology Solution Public Co. Ltd.,BKK:JTS,30.2,High ESG Risk
"Jason Furniture (Hangzhou) Co., Ltd.",SHG:603816,17.2,Low ESG Risk
Jastrzebska Spólka Weglowa SA,WAR:JSW,39.4,High ESG Risk
Jaya Tiasa Holdings Bhd.,KLS:4383,23.0,Medium ESG Risk
"Jaymart Group Holdings Public Co., Ltd.",BKK:JMART,16.0,Low ESG Risk
Jazeera Airways Co. K.S.C.,KUW:JAZEERA,29.8,Medium ESG Risk
Jazz Pharmaceuticals Plc,NAS:JAZZ,25.3,Medium ESG Risk
"JB Financial Group Co., Ltd.",KRX:175330,24.3,Medium ESG Risk
JB Hi-Fi Ltd.,ASX:JBH,15.2,Low ESG Risk
JBG SMITH Properties,NYS:JBGS,13.1,Low ESG Risk
JBM Auto Ltd.,BOM:532605,20.9,Medium ESG Risk
JBS SA,BSP:JBSS3,45.7,Severe ESG Risk
JBS USA Food Co.,-,33.2,High ESG Risk
JCDecaux SE,PAR:DEC,13.7,Low ESG Risk
"JCET Group Co., Ltd.",SHG:600584,32.9,High ESG Risk
"JCHX Mining Management Co., Ltd.",SHG:603979,55.4,Severe ESG Risk
"JCR Pharmaceuticals Co., Ltd.",TKS:4552,27.9,Medium ESG Risk
JCU Corp.,TKS:4975,34.2,High ESG Risk
"JD Health International, Inc.",HKG:6618,19.9,Low ESG Risk
"JD Logistics, Inc.",HKG:2618,21.2,Medium ESG Risk
JD Sports Fashion Plc,LON:JD,11.1,Low ESG Risk
JD Wetherspoon Plc,LON:JDW,28.1,Medium ESG Risk
"JD.com, Inc.",HKG:9618,25.5,Medium ESG Risk
JDC Corp. (Japan),TKS:1887,39.2,High ESG Risk
JDE Peet's NV,AMS:JDEP,20.4,Medium ESG Risk
"Jefferies Financial Group, Inc.",NYS:JEF,25.9,Medium ESG Risk
"Jeil Pharmaceutical Co., Ltd.",KRX:271980,36.5,High ESG Risk
"Jeisys Medical, Inc.",KRX:287410,35.2,High ESG Risk
"JEJUAIR CO., LTD.",KRX:089590,38.2,High ESG Risk
"JELD-WEN Holding, Inc.",NYS:JELD,28.7,Medium ESG Risk
"Jenkem Technology Co., Ltd.",SHG:688356,31.3,High ESG Risk
Jenoptik AG,ETR:JEN,10.9,Low ESG Risk
Jentech Precision Industrial Co. Ltd.,TAI:3653,24.1,Medium ESG Risk
JEOL Ltd.,TKS:6951,18.1,Low ESG Risk
Jerónimo Martins SGPS SA,LIS:JMT,17.4,Low ESG Risk
Jersey Central Power & Light Co.,-,20.6,Medium ESG Risk
"Jersey Mike's Franchise Systems, Inc.",-,33.2,High ESG Risk
Jervois Global Ltd.,ASX:JRV,35.4,High ESG Risk
"Jess-Link Products Co., Ltd.",TAI:6197,23.7,Medium ESG Risk
Jet2 Plc,LON:JET2,41.7,Severe ESG Risk
JetBlue Airways Corp.,NAS:JBLU,30.1,High ESG Risk
Jeudan A/S,CSE:JDAN,18.0,Low ESG Risk
"JFE Holdings, Inc.",TKS:5411,39.8,High ESG Risk
JFrog Ltd.,NAS:FROG,21.9,Medium ESG Risk
"JG Summit Holdings, Inc.",PHS:JGS,46.8,Severe ESG Risk
JGC Holdings Corp.,TKS:1963,42.3,Severe ESG Risk
JHSF Participações SA,BSP:JHSF3,14.9,Low ESG Risk
"Jiajiayue Group Co., Ltd.",SHG:603708,29.5,Medium ESG Risk
"Jiangling Motors Co., Ltd.",SHE:000550,30.2,High ESG Risk
"Jiangsu Amer New Material Co., Ltd.",SHE:002201,23.4,Medium ESG Risk
Jiangsu Azure Corp.,SHE:002245,30.8,High ESG Risk
"Jiangsu Boqian New Materials Stock Co., Ltd.",SHG:605376,25.6,Medium ESG Risk
Jiangsu Broadcasting Cable Information Network Corp. Ltd.,SHG:600959,17.9,Low ESG Risk
"Jiangsu Changshu Rural Commercial Bank Co., Ltd.",SHG:601128,26.2,Medium ESG Risk
"Jiangsu Cnano Technology Co., Ltd.",SHG:688116,30.3,High ESG Risk
"Jiangsu Eastern Shenghong Co., Ltd.",SHE:000301,34.2,High ESG Risk
Jiangsu Expressway Co. Ltd.,HKG:177,11.9,Low ESG Risk
"Jiangsu Guomao Reducer Co., Ltd.",SHG:603915,36.2,High ESG Risk
"Jiangsu Guotai International Group Co., Ltd.",SHE:002091,23.6,Medium ESG Risk
Jiangsu Guoxin Corp. Ltd.,SHE:002608,36.8,High ESG Risk
"Jiangsu Haili Wind Power Equipment Technology Co., Ltd.",SHE:301155,30.3,High ESG Risk
"Jiangsu Hengli Hydraulic Co., Ltd.",SHG:601100,35.5,High ESG Risk
"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",SHG:600276,31.4,High ESG Risk
"Jiangsu Hoperun Software Co., Ltd.",SHE:300339,30.2,High ESG Risk
"Jiangsu Huahong Technology Stock Co., Ltd.",SHE:002645,35.5,High ESG Risk
"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd.",SHE:002807,30.5,High ESG Risk
"Jiangsu Jiejie Microelectronics Co., Ltd.",SHE:300623,25.7,Medium ESG Risk
"Jiangsu Kanion Pharmaceutical Co., Ltd.",SHG:600557,34.3,High ESG Risk
"Jiangsu King's Luck Brewery Joint-stock Co., Ltd.",SHG:603369,29.9,Medium ESG Risk
"Jiangsu Lihua Animal Husbandry Co., Ltd.",SHE:300761,47.5,Severe ESG Risk
"Jiangsu Linyang Energy Co., Ltd.",SHG:601222,19.1,Low ESG Risk
"Jiangsu Lopal Tech. Co., Ltd.",SHG:603906,35.0,High ESG Risk
"Jiangsu Nata Opto-electronic Material Co., Ltd.",SHE:300346,26.0,Medium ESG Risk
"Jiangsu Nhwa Pharmaceutical Co., Ltd.",SHE:002262,29.4,Medium ESG Risk
"Jiangsu Phoenix Publishing & Media Corp., Ltd.",SHG:601928,17.3,Low ESG Risk
"Jiangsu Provincial Agricultural Reclamation & Dev Co., Ltd",SHG:601952,42.4,Severe ESG Risk
"Jiangsu Recbio Technology Co., Ltd.",HKG:2179,25.1,Medium ESG Risk
"Jiangsu Shagang Co., Ltd.",SHE:002075,41.9,Severe ESG Risk
"Jiangsu Shuangxing Color Plastic New Materials Co., Ltd.",SHE:002585,21.3,Medium ESG Risk
"Jiangsu ToLand Alloy Co., Ltd.",SHE:300855,55.6,Severe ESG Risk
"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd.",SHE:002304,29.5,Medium ESG Risk
"Jiangsu Yangnong Chemical Co., Ltd.",SHG:600486,40.9,Severe ESG Risk
"Jiangsu Yoke Technology Co., Ltd.",SHE:002409,32.4,High ESG Risk
"Jiangsu Yuyue Medical Equipment & Supply Co., Ltd.",SHE:002223,36.7,High ESG Risk
"Jiangsu Zhangjiagang Rural Commercial Bank Co., Ltd.",SHE:002839,30.4,High ESG Risk
"Jiangsu Zhongnan Construction Group Co., Ltd.",SHE:000961,26.0,Medium ESG Risk
"Jiangsu Zhongtian Technology Co., Ltd.",SHG:600522,29.2,Medium ESG Risk
"Jiangxi Copper Co., Ltd.",HKG:358,48.0,Severe ESG Risk
"Jiangxi Jovo Energy Co., Ltd.",SHG:605090,52.6,Severe ESG Risk
"Jiangxi Lianchuang Optoelectronic Science & Tech Co., Ltd.",SHG:600363,27.4,Medium ESG Risk
"Jiangxi Special Electric Motor Co., Ltd.",SHE:002176,62.5,Severe ESG Risk
"Jiangxi Wannianqing Cement Co., Ltd.",SHE:000789,40.5,Severe ESG Risk
"Jiangyin Hengrun Heavy Industries Co., Ltd.",SHG:603985,36.3,High ESG Risk
"Jiaozuo Wanfang Aluminum Manufacturing Co., Ltd.",SHE:000612,39.7,High ESG Risk
Jigsaw Funding Plc,-,35.6,High ESG Risk
Jihua Group Corp. Ltd.,SHG:601718,24.3,Medium ESG Risk
"Jilin Aodong Pharmaceutical Group Co., Ltd.",SHE:000623,33.2,High ESG Risk
"Jilin Electric Power Co., Ltd.",SHE:000875,61.8,Severe ESG Risk
"JIN AIR Co., Ltd.",KRX:272450,31.7,High ESG Risk
"Jin Tong Ling Technology Group Co., Ltd.",SHE:300091,35.5,High ESG Risk
Jinchuan Group International Resources Co. Ltd.,HKG:2362,26.3,Medium ESG Risk
Jindal SAW Ltd.,BOM:500378,44.2,Severe ESG Risk
Jindal Stainless Ltd.,BOM:532508,46.0,Severe ESG Risk
Jindal Steel & Power Ltd.,BOM:532286,50.6,Severe ESG Risk
Jindal Worldwide Ltd.,BOM:531543,18.8,Low ESG Risk
"Jinduicheng Molybdenum Co., Ltd.",SHG:601958,54.7,Severe ESG Risk
"Jinghua Pharmaceutical Group Co., Ltd.",SHE:002349,37.3,High ESG Risk
"Jingjin Equipment, Inc.",SHG:603279,33.0,High ESG Risk
"Jinhui Liquor Co., Ltd.",SHG:603919,27.1,Medium ESG Risk
"Jinke Property Group Co., Ltd.",SHE:000656,28.7,Medium ESG Risk
"Jinke Smart Services Group Co., Ltd.",HKG:9666,20.0,Low ESG Risk
"Jinko Solar Co., Ltd.",SHG:688223,32.5,High ESG Risk
"JinkoSolar Holding Co., Ltd.",NYS:JKS,32.2,High ESG Risk
"Jinlei Technology Co., Ltd.",SHE:300443,28.2,Medium ESG Risk
"Jinneng Holding Shanxi Coal Industry Co., Ltd.",SHG:601001,53.7,Severe ESG Risk
"Jinneng Holding Shanxi Electric Power Co,. Ltd.",SHE:000767,58.5,Severe ESG Risk
"Jinneng Science & Technology Co., Ltd.",SHG:603113,34.5,High ESG Risk
"Jins Holdings, Inc.",TKS:3046,17.8,Low ESG Risk
Jinxin Fertility Group Ltd.,HKG:1951,24.0,Medium ESG Risk
"Jionto Energy Investment Co., Ltd. Hebei",SHE:000600,54.8,Severe ESG Risk
"Jiugui Liquor Co., Ltd.",SHE:000799,31.4,High ESG Risk
Jiumaojiu International Holdings Ltd.,HKG:9922,29.5,Medium ESG Risk
"Jiuzhitang Co., Ltd.",SHE:000989,37.2,High ESG Risk
"Jizhong Energy Resources Co., Ltd.",SHE:000937,60.6,Severe ESG Risk
JJBC LLC,-,32.8,High ESG Risk
JK Lakshmi Cement Ltd.,BOM:500380,32.5,High ESG Risk
JK Paper Ltd.,BOM:532162,26.5,Medium ESG Risk
JK Tyre & Industries Ltd.,BOM:530007,20.6,Medium ESG Risk
"JL MAG Rare-Earth Co., Ltd.",HKG:6680,31.3,High ESG Risk
JLEN Environmental Assets Group Ltd.,LON:JLEN,20.2,Medium ESG Risk
JM AB,OME:JM,20.8,Medium ESG Risk
"JM Family Enterprises, Inc.",-,24.6,Medium ESG Risk
JM Financial Ltd.,BOM:523405,30.4,High ESG Risk
"JM Holdings Co., Ltd.",TKS:3539,24.2,Medium ESG Risk
"JMDC, Inc.",TKS:4483,23.8,Medium ESG Risk
JMT Network Services Public Co. Ltd.,BKK:JMT,24.1,Medium ESG Risk
JNBY Design Ltd.,HKG:3306,16.3,Low ESG Risk
"Joby Aviation, Inc.",NYS:JOBY,40.3,Severe ESG Risk
"John B. Sanfilippo & Son, Inc.",NAS:JBSS,32.6,High ESG Risk
John Bean Technologies Corp.,NYS:JBT,25.0,Medium ESG Risk
John Deere Financial Ltd.,-,18.7,Low ESG Risk
"John Marshall Bancorp, Inc.",NAS:JMSB,30.1,High ESG Risk
John Mattson Fastighetsföretagen AB,OME:JOMA,18.9,Low ESG Risk
