ISO (3),Companies,Symbols,Ratings,Risk,Industry,Environmental score,Social score,Governance score
USA,"Alarm.com Holdings, Inc.",NAS:ALRM,24.4,Medium ESG Risk,Software & Services,,,
USA,"Alaska Air Group, Inc.",NYS:ALK,26.1,Medium ESG Risk,Transportation,,,
USA,Albany International Corp.,NYS:AIN,18.8,Low ESG Risk,Machinery,,,
TUR,Albaraka Türk Katilim Bankasi AS,IST:ALBRK.E,27.5,Medium ESG Risk,Banks,,,
CHN,Alchip Technologies Ltd.,TAI:3661,32.6,High ESG Risk,Semiconductors,,,
FRA,ALD SA,PAR:ALD,10.9,Low ESG Risk,Transportation,,,
ARE,Aldar Properties PJSC,ADS:ALDAR,15.9,Low ESG Risk,Real Estate,,,
USA,"Aldeyra Therapeutics, Inc.",NAS:ALDX,29.3,Medium ESG Risk,Pharmaceuticals,,,
SAU,Aldrees Petroleum & Transport Services Co.,SAU:4200,46.5,Severe ESG Risk,Refiners & Pipelines,,,
MEX,Aleatica SAB de CV,MEX:ALEATIC,11.9,Low ESG Risk,Transportation Infrastructure,,,
IND,Alembic Pharmaceuticals Ltd.,BOM:533573,34.1,High ESG Risk,Pharmaceuticals,,,
ITA,Alerion Cleanpower SpA,MIL:ARN,24.0,Medium ESG Risk,Utilities,,,
CHN,"Alexander Marine Co., Ltd.",TAI:8478,13.7,Low ESG Risk,Consumer Durables,,,
EGY,Alexandria Mineral Oils Co.,CAI:AMOC,33.0,High ESG Risk,Chemicals,,,
USA,"Alexandria Real Estate Equities, Inc.",NYS:ARE,13.2,Low ESG Risk,Real Estate,3.9,3.7,6.3
GBR,Alfa Financial Software Holdings Plc,LON:ALFA,14.5,Low ESG Risk,Software & Services,,,
MEX,Alfa SAB de CV,MEX:ALFAA,49.4,Severe ESG Risk,Industrial Conglomerates,,,
NLD,Alfen NV,AMS:ALFEN,20.3,Medium ESG Risk,Electrical Equipment,,,
JPN,Alfresa Holdings Corp.,TKS:2784,18.1,Low ESG Risk,Healthcare,,,
CAN,Algonquin Power & Utilities Corp.,TSE:AQN,21.3,Medium ESG Risk,Utilities,,,
BEL,Aliaxis SA,BRU:1153318,30.7,High ESG Risk,Building Products,,,
CHN,Alibaba Group Holding Ltd.,HKG:9988,24.7,Medium ESG Risk,Software & Services,,,
CHN,Alibaba Health Information Technology Ltd.,HKG:241,21.7,Medium ESG Risk,Food Retailers,,,
CHN,Alibaba Pictures Group Ltd.,HKG:1060,18.9,Low ESG Risk,Media,,,
PER,Alicorp SAA,LIM:ALICORC1,33.5,High ESG Risk,Food Products,,,
USA,"Alignment Healthcare, Inc.",NAS:ALHC,23.2,Medium ESG Risk,Healthcare,,,
KWT,Alimtiaz Investment Group KSCC,KUW:ALIMTIAZ,40.8,Severe ESG Risk,Diversified Financials,,,
SAU,Alinma Bank,SAU:1150,27.7,Medium ESG Risk,Banks,,,
SAU,Alkhorayef Water & Power Technologies,SAU:2081,46.4,Severe ESG Risk,Construction & Engineering,,,
IRL,Allegion Plc,NYS:ALLE,21.8,Medium ESG Risk,Building Products,,,
USA,"Allegro MicroSystems, Inc.",NAS:ALGM,22.0,Medium ESG Risk,Semiconductors,,,
SWE,Alleima AB,OME:ALLEI,33.7,High ESG Risk,Steel,,,
MYS,Alliance Bank Malaysia Bhd.,KLS:2488,25.0,Medium ESG Risk,Banks,,,
CHN,Alliance International Education Leasing Holdings Ltd.,HKG:1563,34.3,High ESG Risk,Diversified Financials,,,
USA,Alliant Energy Corp.,NAS:LNT,21.4,Medium ESG Risk,Utilities,,,
DEU,Allianz SE,ETR:ALV,13.3,Low ESG Risk,Insurance,0.6,6.2,6.4
CAN,Allied Properties Real Estate Investment Trust,TSE:AP.UT,13.9,Low ESG Risk,Real Estate,,,
CHN,Allied Supreme Corp.,TAI:4770,29.7,Medium ESG Risk,Chemicals,,,
USA,"Allient, Inc.",NAS:ALNT,23.4,Medium ESG Risk,Electrical Equipment,,,
SWE,Alligator Bioscience AB,OME:ATORX,28.5,Medium ESG Risk,Pharmaceuticals,,,
USA,"Allison Transmission Holdings, Inc.",NYS:ALSN,30.0,Medium ESG Risk,Machinery,,,
CHE,Allreal Holding AG,SWX:ALLN,22.2,Medium ESG Risk,Real Estate,,,
CHN,"Allwinner Technology Co., Ltd.",SHE:300458,41.5,Severe ESG Risk,Semiconductors,,,
FIN,Alma Media Oyj,HEL:ALMA,11.8,Low ESG Risk,Media,,,
QAT,Almeera Consumer Goods Co. QSC,DSMD:MERS,23.2,Medium ESG Risk,Food Retailers,,,
ESP,Almirall SA,MCE:ALM,17.1,Low ESG Risk,Pharmaceuticals,,,
SAU,Almunajem Foods Co.,SAU:4162,21.4,Medium ESG Risk,Food Retailers,,,
ISR,Alony Hetz Properties & Investments Ltd.,TAE:ALHE,21.6,Medium ESG Risk,Real Estate,,,
BRA,Alpargatas SA,BSP:ALPA4,17.7,Low ESG Risk,Textiles & Apparel,,,
MEX,Alpek SAB de CV,MEX:ALPEKA,25.7,Medium ESG Risk,Chemicals,,,
JPN,"Alpen Co., Ltd.",TKS:3028,22.7,Medium ESG Risk,Retailing,,,
USA,Alpha & Omega Semiconductor Ltd.,NAS:AOSL,29.3,Medium ESG Risk,Semiconductors,,,
ARE,Alpha Dhabi Holding PJSC,ADS:ALPHADHABI,21.9,Medium ESG Risk,Real Estate,,,
CHN,Alpha Group (China),SHE:002292,17.5,Low ESG Risk,Consumer Durables,,,
USA,"Alpha Metallurgical Resources, Inc.",NYS:AMR,51.0,Severe ESG Risk,Oil & Gas Producers,,,
CHN,"Alpha Networks, Inc.",TAI:3380,14.9,Low ESG Risk,Technology Hardware,,,
GRC,Alpha Services & Holdings SA,ATH:ALPHA,19.1,Low ESG Risk,Banks,,,
JPN,"Alpha Systems, Inc.",TKS:4719,23.5,Medium ESG Risk,Software & Services,,,
USA,"Alphabet, Inc.",NAS:GOOGL,24.1,Medium ESG Risk,Software & Services,,,
USA,"Alphatec Holdings, Inc.",NAS:ATEC,32.7,High ESG Risk,Healthcare,,,
USA,"Alpine Income Property Trust, Inc.",NYS:PINE,23.0,Medium ESG Risk,Real Estate,,,
JPN,"Alps Alpine Co., Ltd.",TKS:6770,22.0,Medium ESG Risk,Technology Hardware,,,
RUS,ALROSA PJSC,MIC:ALRS,47.1,Severe ESG Risk,Precious Metals,,,
FRA,Alstom SA,PAR:ALO,21.5,Medium ESG Risk,Machinery,,,
DEU,alstria office REIT-AG,ETR:AOX,12.3,Low ESG Risk,Real Estate,,,
USA,"Alta Equipment Group, Inc.",NYS:ALTG,31.7,High ESG Risk,Traders & Distributors,,,
CAN,AltaGas Ltd.,TSE:ALA,32.3,High ESG Risk,Utilities,,,
USA,"Altair Engineering, Inc.",NAS:ALTR,24.9,Medium ESG Risk,Software & Services,,,
FRA,Altareit SA,PAR:AREIT,14.6,Low ESG Risk,Real Estate,,,
HUN,ALTEO Energy Services Plc,BUD:ALTEO,26.1,Medium ESG Risk,Utilities,,,
KOR,"Alteogen, Inc.",KRX:196170,29.4,Medium ESG Risk,Pharmaceuticals,,,
USA,"Altice USA, Inc.",NYS:ATUS,27.2,Medium ESG Risk,Media,,,
USA,"Altimmune, Inc.",NAS:ALT,30.0,Medium ESG Risk,Pharmaceuticals,,,
USA,Altium Ltd.,ASX:ALU,17.0,Low ESG Risk,Software & Services,,,
CAN,Altius Minerals Corp.,TSE:ALS,33.1,High ESG Risk,Diversified Metals,,,
PRT,Altri SGPS SA,LIS:ALTR,14.7,Low ESG Risk,Paper & Forestry,,,
USA,"Altria Group, Inc.",NYS:MO,31.3,High ESG Risk,Food Products,6.1,17.6,7.6
ISR,Altshuler Shaham Finance Ltd.,TAE:ALTF,37.1,High ESG Risk,Diversified Financials,,,
CAN,Altus Group Ltd.,TSE:AIF,8.8,Negligible ESG Risk,Real Estate,,,
USA,"Altus Power, Inc.",NYS:AMPS,24.8,Medium ESG Risk,Utilities,,,
SAU,Alujain Corp.,SAU:2170,36.4,High ESG Risk,Chemicals,,,
CHN,Aluminum Corp. of China Ltd.,HKG:2600,50.0,Severe ESG Risk,Diversified Metals,,,
BRA,Alupar Investimento SA,BSP:ALUP11,40.8,Severe ESG Risk,Utilities,,,
USA,"ALX Oncology Holdings, Inc.",NAS:ALXO,30.9,High ESG Risk,Pharmaceuticals,,,
JPN,"AMADA Co., Ltd.",TKS:6113,30.3,High ESG Risk,Machinery,,,
DEU,Amadeus FiRe AG,ETR:AAD,11.6,Low ESG Risk,Commercial Services,,,
ARE,Amanat Holdings PJSC,DFM:AMANAT,35.9,High ESG Risk,Diversified Financials,,,
THA,"Amata Corp. Public Co., Ltd.",BKK:AMATA,12.5,Low ESG Risk,Real Estate,,,
CHN,Amazing Microelectronic Corp.,ROCO:6411,24.9,Medium ESG Risk,Technology Hardware,,,
USA,"Amazon.com, Inc.",NAS:AMZN,30.0,High ESG Risk,Retailing,6.0,15.4,9.2
USA,"Ambac Financial Group, Inc.",NYS:AMBC,31.5,High ESG Risk,Insurance,,,
SWE,Ambea AB,OME:AMBEA,26.4,Medium ESG Risk,Healthcare,,,
IND,Amber Enterprises India Ltd.,BOM:540902,24.4,Medium ESG Risk,Consumer Durables,,,
IND,Ambika Cotton Mills Ltd.,BOM:531978,19.4,Low ESG Risk,Textiles & Apparel,,,
BRA,Ambipar Participações e Empreendimentos SA,BSP:AMBP3,18.1,Low ESG Risk,Commercial Services,,,
DNK,Ambu A/S,CSE:AMBU.B,22.3,Medium ESG Risk,Healthcare,,,
IND,Ambuja Cements Ltd.,BOM:500425,25.1,Medium ESG Risk,Construction Materials,,,
USA,"AMC Entertainment Holdings, Inc.",NYS:AMC,18.6,Low ESG Risk,Media,,,
GBR,Amcor Plc,NYS:AMCR,17.6,Low ESG Risk,Containers & Packaging,,,
USA,Amdocs Ltd.,NAS:DOX,14.2,Low ESG Risk,Software & Services,,,
USA,"Amedisys, Inc.",NAS:AMED,23.9,Medium ESG Risk,Healthcare,,,
USA,Ameren Corp.,NYS:AEE,27.2,Medium ESG Risk,Utilities,,,
USA,"Ameresco, Inc.",NYS:AMRC,30.7,High ESG Risk,Construction & Engineering,,,
MEX,America Movil SAB de CV,MEX:AMXB,21.6,Medium ESG Risk,Telecommunication Services,,,
USA,"American Airlines Group, Inc.",NAS:AAL,26.4,Medium ESG Risk,Transportation,,,
USA,"American Assets Trust, Inc.",NYS:AAT,14.2,Low ESG Risk,Real Estate,,,
USA,"American Axle & Manufacturing Holdings, Inc.",NYS:AXL,16.7,Low ESG Risk,Auto Components,,,
USA,"American Eagle Outfitters, Inc.",NYS:AEO,15.1,Low ESG Risk,Retailing,,,
USA,"American Electric Power Co., Inc.",NAS:AEP,23.9,Medium ESG Risk,Utilities,12.7,8.1,5.4
USA,American Equity Investment Life Holding Co.,NYS:AEL,25.9,Medium ESG Risk,Insurance,,,
USA,American Express Co.,NYS:AXP,19.3,Low ESG Risk,Diversified Financials,0.1,8.9,9.7
USA,"American Financial Group, Inc.",NYS:AFG,27.9,Medium ESG Risk,Insurance,,,
USA,American Homes 4 Rent,NYS:AMH,12.1,Low ESG Risk,Real Estate,,,
USA,"American National Bankshares, Inc. (Virginia)",NAS:AMNB,29.6,Medium ESG Risk,Banks,,,
USA,American Vanguard Corp.,NYS:AVD,39.8,High ESG Risk,Chemicals,,,
USA,"American Water Works Co., Inc.",NYS:AWK,19.4,Low ESG Risk,Utilities,9.0,7.6,5.0
USA,American Well Corp.,NYS:AMWL,23.9,Medium ESG Risk,Software & Services,,,
BRA,Americanas SA,BSP:AMER3,29.1,Medium ESG Risk,Retailing,,,
USA,"Americold Realty Trust, Inc.",NYS:COLD,15.6,Low ESG Risk,Real Estate,,,
USA,"Ameriprise Financial, Inc.",NYS:AMP,20.3,Medium ESG Risk,Diversified Financials,2.1,7.8,10.3
USA,"AMERISAFE, Inc.",NAS:AMSF,27.1,Medium ESG Risk,Insurance,,,
USA,Ames National Corp.,NAS:ATLO,31.2,High ESG Risk,Banks,,,
NLD,AMG Critical Materials NV,AMS:AMG,39.7,High ESG Risk,Diversified Metals,,,
USA,"Amgen, Inc.",NAS:AMGN,23.8,Medium ESG Risk,Pharmaceuticals,0.7,13.5,7.8
USA,"Amkor Technology, Inc.",NAS:AMKR,17.8,Low ESG Risk,Semiconductors,,,
SAU,Amlak International for Real Estate Financing,SAU:1182,25.3,Medium ESG Risk,Real Estate,,,
USA,"AMN Healthcare Services, Inc.",NYS:AMN,17.2,Low ESG Risk,Healthcare,,,
ISR,Amot Investments Ltd.,TAE:AMOT,17.7,Low ESG Risk,Real Estate,,,
ESP,AmRest Holdings SE,WAR:EAT,29.6,Medium ESG Risk,Consumer Services,,,
AUT,ams-OSRAM AG,SWX:AMS,21.0,Medium ESG Risk,Semiconductors,,,
CHN,"AmTRAN Technology Co., Ltd.",TAI:2489,18.1,Low ESG Risk,Technology Hardware,,,
USA,Amur Equipment Finance Inc,-,27.5,Medium ESG Risk,Diversified Financials,,,
JPN,"Amvis Holdings, Inc.",TKS:7071,27.7,Medium ESG Risk,Healthcare,,,
JPN,ANA HOLDINGS INC.,TKS:9202,31.9,High ESG Risk,Transportation,,,
KOR,"AnaPass, Inc.",KRX:123860,39.3,High ESG Risk,Semiconductors,,,
CHN,Andes Technology Corp.,TAI:6533,23.5,Medium ESG Risk,Software & Services,,,
CAN,"Andlauer Healthcare Group, Inc.",TSE:AND,21.1,Medium ESG Risk,Transportation,,,
AUS,Andromeda Metals Ltd.,ASX:ADN,44.9,Severe ESG Risk,Diversified Metals,,,
JPN,ANEST IWATA Corp.,TKS:6381,27.5,Medium ESG Risk,Machinery,,,
CHN,"Angang Steel Co., Ltd.",HKG:347,42.6,Severe ESG Risk,Steel,,,
USA,"Angel Oak Mortgage REIT, Inc.",NYS:AOMR,24.9,Medium ESG Risk,Real Estate,,,
CHN,"Angel Yeast Co., Ltd.",SHG:600298,43.7,Severe ESG Risk,Food Products,,,
CHN,"Angelalign Technology, Inc.",HKG:6699,39.1,High ESG Risk,Healthcare,,,
USA,"Angi, Inc.",NAS:ANGI,28.4,Medium ESG Risk,Software & Services,,,
ZAF,Anglo American Platinum Ltd.,JSE:AMS,15.1,Low ESG Risk,Precious Metals,,,
GBR,Anglo-Eastern Plantations Plc,LON:AEP,37.8,High ESG Risk,Food Products,,,
ZAF,AngloGold Ashanti Ltd.,GHA:AGA,23.2,Medium ESG Risk,Precious Metals,,,
USA,Anheuser-Busch Cos. LLC,-,19.1,Low ESG Risk,Food Products,,,
BEL,Anheuser-Busch InBev SA/NV,BRU:ABI,23.6,Medium ESG Risk,Food Products,,,
CHN,"Anhui Anke Biotechnology (Group) Co., Ltd.",SHE:300009,26.2,Medium ESG Risk,Pharmaceuticals,,,
CHN,"Anhui Conch Cement Co., Ltd.",HKG:914,32.5,High ESG Risk,Construction Materials,,,
CHN,Anhui Construction Engineering Group Corp. Ltd.,SHG:600502,48.6,Severe ESG Risk,Construction & Engineering,,,
CHN,"Anhui Guangxin Agrochemical Co., Ltd.",SHG:603599,32.5,High ESG Risk,Chemicals,,,
CHN,"Anhui Honglu Steel Construction (Group) Co., Ltd.",SHE:002541,34.8,High ESG Risk,Building Products,,,
CHN,"Anhui Huilong Agricultural Means of Production Co., Ltd.",SHE:002556,46.5,Severe ESG Risk,Chemicals,,,
CHN,"Anhui Jiangnan Chemical Industry Co., Ltd.",SHE:002226,34.7,High ESG Risk,Chemicals,,,
CHN,"Anhui Kouzi Distillery Co., Ltd.",SHG:603589,36.7,High ESG Risk,Food Products,,,
CHN,"Anhui Tatfook Technology Co., Ltd.",SHE:300134,23.3,Medium ESG Risk,Technology Hardware,,,
CHN,"Anhui Truchum Advanced Materials & Technology Co., Ltd.",SHE:002171,50.2,Severe ESG Risk,Diversified Metals,,,
CHN,"Anhui Xinhua Media Co., Ltd.",SHG:601801,26.5,Medium ESG Risk,Traders & Distributors,,,
CHN,"Anhui Yingjia Distillery Co., Ltd.",SHG:603198,35.0,High ESG Risk,Food Products,,,
CHN,"Anhui Zhongding Sealing Parts Co., Ltd.",SHE:000887,25.4,Medium ESG Risk,Auto Components,,,
USA,"ANI Pharmaceuticals, Inc.",NAS:ANIP,36.3,High ESG Risk,Pharmaceuticals,,,
JPN,"Anicom Holdings, Inc.",TKS:8715,33.1,High ESG Risk,Insurance,,,
USA,"Anika Therapeutics, Inc.",NAS:ANIK,11.7,Low ESG Risk,Healthcare,,,
BRA,Anima Holding SA,BSP:ANIM3,19.1,Low ESG Risk,Consumer Services,,,
ITA,Anima Holding SpA,MIL:ANIM,11.5,Low ESG Risk,Diversified Financials,,,
CHN,"Anji Microelectronics Technology (Shanghai) Co., Ltd.",SHG:688019,21.7,Medium ESG Risk,Semiconductors,,,
CHN,"Anjoy Foods Group Co., Ltd.",SHG:603345,44.5,Severe ESG Risk,Food Products,,,
CHN,"Anker Innovations Technology Co., Ltd.",SHE:300866,25.6,Medium ESG Risk,Consumer Durables,,,
USA,"Annaly Capital Management, Inc.",NYS:NLY,11.2,Low ESG Risk,Real Estate,,,
USA,"Annexon, Inc.",NAS:ANNX,33.5,High ESG Risk,Pharmaceuticals,,,
GBR,Annington Homes Limited,-,15.7,Low ESG Risk,Real Estate,,,
FIN,Anora Group Oyj,HEL:ANORA,22.7,Medium ESG Risk,Food Products,,,
JPN,Anritsu Corp.,TKS:6754,7.3,Negligible ESG Risk,Technology Hardware,,,
CHN,ANTA Sports Products Ltd.,HKG:2020,16.7,Low ESG Risk,Retailing,,,
USA,Antero Midstream Corp.,NYS:AM,27.6,Medium ESG Risk,Refiners & Pipelines,,,
USA,Antero Resources Corp.,NYS:AR,39.8,High ESG Risk,Oil & Gas Producers,,,
FRA,Antin Infrastructure Partners SA,PAR:ANTIN,14.4,Low ESG Risk,Diversified Financials,,,
GBR,Antofagasta Plc,LON:ANTO,26.1,Medium ESG Risk,Diversified Metals,,,
CHN,"Antong Holdings Co., Ltd.",SHG:600179,53.8,Severe ESG Risk,Oil & Gas Producers,,,
IND,Anupam Rasayan India Ltd.,BOM:543275,26.7,Medium ESG Risk,Pharmaceuticals,,,
USA,"Anywhere Real Estate, Inc.",NYS:HOUS,8.0,Negligible ESG Risk,Real Estate,,,
AUS,ANZ Group Holdings Ltd.,ASX:ANZ,22.9,Medium ESG Risk,Banks,,,
GBR,AO World Plc,LON:AO,23.3,Medium ESG Risk,Retailing,,,
JPN,"AOKI Holdings, Inc.",TKS:8214,21.9,Medium ESG Risk,Retailing,,,
CHN,"Aotecar New Energy Technology Co., Ltd.",SHE:002239,24.1,Medium ESG Risk,Auto Components,,,
JPN,Aozora Bank Ltd.,TKS:8304,23.7,Medium ESG Risk,Banks,,,
LUX,AP Impact Euro (Lux) SARL,-,36.8,High ESG Risk,Diversified Financials,,,
USA,"Apellis Pharmaceuticals, Inc.",NAS:APLS,24.4,Medium ESG Risk,Pharmaceuticals,,,
CHN,"Apeloa Pharmaceutical Co., Ltd.",SHE:000739,40.2,Severe ESG Risk,Pharmaceuticals,,,
LUX,Aperam SA,AMS:APAM,22.6,Medium ESG Risk,Steel,,,
CHN,"Apex International Co., Ltd.",TAI:4927,18.7,Low ESG Risk,Technology Hardware,,,
CHN,"Apex International Financial Engineering Res & Tech Co., Ltd.",ROCO:5210,28.6,Medium ESG Risk,Technology Hardware,,,
CHE,APG SGA SA,SWX:APGN,17.6,Low ESG Risk,Media,,,
USA,APi Group Corp.,NYS:APG,24.0,Medium ESG Risk,Consumer Durables,,,
AUS,APM Human Services International Ltd.,ASX:APM,16.1,Low ESG Risk,Commercial Services,,,
USA,"Apogee Enterprises, Inc.",NAS:APOG,31.9,High ESG Risk,Building Products,,,
USA,"Apollo Commercial Real Estate Finance, Inc.",NYS:ARI,16.8,Low ESG Risk,Real Estate,,,
USA,"Apollo Global Management, Inc.",NYS:APO,24.3,Medium ESG Risk,Diversified Financials,,,
IND,Apollo Hospitals Enterprise Ltd.,BOM:508869,25.3,Medium ESG Risk,Healthcare,,,
USA,"Apollo Medical Holdings, Inc.",NAS:ASTH,21.0,Medium ESG Risk,Healthcare,,,
IND,Apollo Tyres Ltd.,BOM:500877,13.3,Low ESG Risk,Auto Components,,,
USA,Appalachian Power Co.,-,33.0,High ESG Risk,Utilities,,,
AUS,Appen Ltd.,ASX:APX,16.1,Low ESG Risk,Software & Services,,,
AUS,APPF Commercial Finance Pty Ltd.,-,24.7,Medium ESG Risk,Real Estate,,,
USA,"Apple Hospitality REIT, Inc.",NYS:APLE,19.3,Low ESG Risk,Real Estate,,,
USA,"Applied Industrial Technologies, Inc.",NYS:AIT,24.1,Medium ESG Risk,Traders & Distributors,,,
KOR,"Aprogen Biologics, Inc.",KRX:003060,37.9,High ESG Risk,Pharmaceuticals,,,
USA,"AptarGroup, Inc.",NYS:ATR,12.3,Low ESG Risk,Containers & Packaging,,,
GBR,Aptitude Software Group Plc,LON:APTD,22.9,Medium ESG Risk,Software & Services,,,
IND,Aptus Value Housing Finance India Ltd.,BOM:543335,23.8,Medium ESG Risk,Diversified Financials,,,
SWE,AQ Group AB,OME:AQ,20.6,Medium ESG Risk,Electrical Equipment,,,
ITA,Aquafil SpA,MIL:ECNL,10.7,Low ESG Risk,Textiles & Apparel,,,
SAU,Arab National Bank,SAU:1080,30.9,High ESG Risk,Banks,,,
SAU,Arabian Centres Co.,SAU:4321,19.8,Low ESG Risk,Real Estate,,,
GBR,Arabian Centres Sukuk II Ltd.,-,22.0,Medium ESG Risk,Real Estate,,,
SAU,Arabian Contracting Services Co.,SAU:4071,22.9,Medium ESG Risk,Media,,,
SAU,Arabian Internet & Communications Services Co.,SAU:7202,24.8,Medium ESG Risk,Software & Services,,,
ISR,Arad Investment & Industrial Development Ltd.,TAE:ARAD,19.2,Low ESG Risk,Diversified Financials,,,
ARE,ARADA Developments LLC,-,24.2,Medium ESG Risk,Real Estate,,,
AUS,Arafura Rare Earths Ltd.,ASX:ARU,48.2,Severe ESG Risk,Diversified Metals,,,
CYP,Aragvi Holding International Ltd.,-,45.3,Severe ESG Risk,Food Products,,,
JPN,Arakawa Chemical Industries Ltd.,TKS:4968,29.7,Medium ESG Risk,Chemicals,,,
USA,Aramark,NYS:ARMK,23.7,Medium ESG Risk,Consumer Services,,,
ARE,Aramex PJSC,DFM:ARMX,12.9,Low ESG Risk,Transportation,,,
FRA,Aramis Group SAS,PAR:ARAMI,21.7,Medium ESG Risk,Retailing,,,
JPN,"Araya Industrial Co., Ltd.",TKS:7305,46.4,Severe ESG Risk,Steel,,,
AUS,ARB Corp. Ltd.,ASX:ARB,26.5,Medium ESG Risk,Auto Components,,,
CHE,Arbonia AG,SWX:ARBN,26.7,Medium ESG Risk,Building Products,,,
USA,"Arbor Realty Trust, Inc.",NYS:ABR,20.8,Medium ESG Risk,Real Estate,,,
USA,Arbutus Biopharma Corp.,NAS:ABUS,25.5,Medium ESG Risk,Pharmaceuticals,,,
USA,"Arby's Restaurant Group, Inc.",-,35.8,High ESG Risk,Consumer Services,,,
CAN,ARC Resources Ltd.,TSE:ARX,36.3,High ESG Risk,Oil & Gas Producers,,,
MEX,Arca Continental SAB de CV,MEX:AC,23.0,Medium ESG Risk,Food Products,,,
CHN,Arcadyan Technology Corp.,TAI:3596,24.8,Medium ESG Risk,Technology Hardware,,,
USA,ArcBest Corp.,NAS:ARCB,16.9,Low ESG Risk,Transportation,,,
USA,"Arcellx, Inc.",NAS:ACLX,26.9,Medium ESG Risk,Pharmaceuticals,,,
LUX,ArcelorMittal SA,AMS:MT,38.1,High ESG Risk,Steel,14.9,14.6,6.7
ZAF,ArcelorMittal South Africa Ltd.,JSE:ACL,40.8,Severe ESG Risk,Steel,,,
USA,"Arch Capital Group (U.S.), Inc.",-,19.3,Low ESG Risk,Insurance,,,
USA,"Arch Resources, Inc.",NYS:ARCH,49.3,Severe ESG Risk,Oil & Gas Producers,,,
USA,"Archer Aviation, Inc.",NYS:ACHR,37.1,High ESG Risk,Aerospace & Defense,,,
CHN,"ArcherMind Technology (Nanjing) Co., Ltd.",SHE:300598,25.5,Medium ESG Risk,Software & Services,,,
CHN,"Archosaur Games, Inc.",HKG:9990,19.9,Low ESG Risk,Software & Services,,,
JPN,"ARCLAND SERVICE HOLDINGS CO., LTD.",-,32.5,High ESG Risk,Consumer Services,,,
JPN,Arclands Corp.,TKS:9842,20.0,Low ESG Risk,Retailing,,,
GBR,ARCO BPS Holdings Ltd.,-,11.1,Low ESG Risk,Real Estate,,,
CHN,ArcSoft Corp. Ltd.,SHG:688088,23.2,Medium ESG Risk,Software & Services,,,
CAN,Arctic Infrastructure LP,-,39.9,High ESG Risk,Construction & Engineering,,,
POL,Arctic Paper SA,WAR:ATC,14.5,Low ESG Risk,Paper & Forestry,,,
NOR,ArcticZymes Technologies ASA,OSL:AZT,30.7,High ESG Risk,Pharmaceuticals,,,
USA,"Arcturus Therapeutics Holdings, Inc.",NAS:ARCT,34.3,High ESG Risk,Pharmaceuticals,,,
USA,"Arcus Biosciences, Inc.",NYS:RCUS,31.3,High ESG Risk,Pharmaceuticals,,,
LUX,Ardagh Metal Packaging SA,NYS:AMBP,14.2,Low ESG Risk,Containers & Packaging,,,
USA,"Ardelyx, Inc.",NAS:ARDX,28.9,Medium ESG Risk,Pharmaceuticals,,,
CHN,Ardentec Corp.,ROCO:3264,29.2,Medium ESG Risk,Semiconductors,,,
GBR,Ardmore Shipping Corp.,NYS:ASC,38.3,High ESG Risk,Refiners & Pipelines,,,
NOR,Arendals Fossekompani ASA,OSL:AFK,43.6,Severe ESG Risk,Industrial Conglomerates,,,
USA,Ares Commercial Real Estate Corp.,NYS:ACRE,13.3,Low ESG Risk,Real Estate,,,
USA,Ares Management Corp.,NYS:ARES,19.9,Low ESG Risk,Diversified Financials,,,
BRA,Arezzo Industria e Comercio SA,BSP:ARZZ3,15.8,Low ESG Risk,Textiles & Apparel,,,
FRA,Argan SA,PAR:ARG,17.4,Low ESG Risk,Real Estate,,,
USA,"Argan, Inc.",NYS:AGX,40.6,Severe ESG Risk,Construction & Engineering,,,
BEL,Argenta Bank en Verzekeringsgroep NV,-,16.7,Low ESG Risk,Banks,,,
NLD,Argenta Spaarbank NV (Netherlands),-,11.3,Low ESG Risk,Banks,,,
ESP,Siemens Gamesa Renewable Energy SA,-,15.4,Low ESG Risk,Electrical Equipment,,,
TUR,Yayla Agro Gida Sanayi ve Ticaret AS,IST:YYLGD.E,44.8,Severe ESG Risk,Food Products,,,
CHE,Meier Tobler Group AG,SWX:MTG,35.0,High ESG Risk,Machinery,,,
JPN,"SMS Co., Ltd.",TKS:2175,24.1,Medium ESG Risk,Software & Services,,,
CAN,"Winnipeg Airports Authority, Inc.",-,22.2,Medium ESG Risk,Transportation Infrastructure,,,
EGY,Fawry for Banking & Payment Technology Services SAE,CAI:FWRY,26.9,Medium ESG Risk,Software & Services,,,
JPN,Tri Chemical Laboratories Inc.,TKS:4369,19.0,Low ESG Risk,Semiconductors,,,
CHN,"NARI Technology Co., Ltd.",SHG:600406,24.2,Medium ESG Risk,Electrical Equipment,,,
NOR,WALLENIUS WILHELMSEN ASA,OSL:WAWI,21.1,Medium ESG Risk,Transportation,,,
FRA,bioMérieux SA,PAR:BIM,24.1,Medium ESG Risk,Healthcare,,,
GBR,Logicor Europe Ltd.,-,15.9,Low ESG Risk,Real Estate,,,
CHN,"Chicony Electronics Co., Ltd.",TAI:2385,14.3,Low ESG Risk,Technology Hardware,,,
GBR,Nostrum Oil & Gas Plc,LON:NOG,30.1,High ESG Risk,Oil & Gas Producers,,,
IND,VST Industries Ltd.,BOM:509966,30.4,High ESG Risk,Food Products,,,
AUS,HUB24 Ltd.,ASX:HUB,21.1,Medium ESG Risk,Software & Services,,,
USA,"Upwork, Inc.",NAS:UPWK,18.5,Low ESG Risk,Software & Services,,,
