ISO (3),Companies,Symbols,Ratings,Risk,Industry,Environmental score,Social score,Governance score
CHN,"AAC Technologies Holdings, Inc.",HKG:2018,18.8,Low ESG Risk,Technology Hardware,,,
USA,"Aadi Bioscience, Inc.",NAS:AADI,26.4,Medium ESG Risk,Pharmaceuticals,,,
SWE,AAK AB,OME:AAK,26.7,Medium ESG Risk,Food Products,,,
USA,"AAON, Inc.",NAS:AAON,22.8,Medium ESG Risk,Building Products,,,
DEU,Aareal Bank AG,HAM:ARLN,18.7,Low ESG Risk,Banks,,,
IND,Aarti Drugs Ltd.,BOM:524348,34.9,High ESG Risk,Pharmaceuticals,,,
IND,AARTI Industries Ltd.,BOM:524208,23.0,Medium ESG Risk,Chemicals,,,
IND,Aavas Financiers Ltd.,BOM:541988,26.2,Medium ESG Risk,Banks,,,
GBR,AB Dynamics Plc,LON:ABDP,17.9,Low ESG Risk,Auto Components,,,
FRA,AB Science SA,PAR:AB,32.5,High ESG Risk,Pharmaceuticals,,,
CHE,ABB Ltd.,SWX:ABBN,15.4,Low ESG Risk,Electrical Equipment,,,
CAN,"AbCellera Biologics, Inc.",NAS:ABCL,29.7,Medium ESG Risk,Pharmaceuticals,,,
SAU,Abdullah Al Othaim Markets Co.,SAU:4001,29.4,Medium ESG Risk,Food Retailers,,,
NOR,ABG Sundal Collier Holding ASA,OSL:ABG,29.4,Medium ESG Risk,Diversified Financials,,,
CHN,"Ability Enterprise Co., Ltd.",TAI:2374,20.8,Medium ESG Risk,Consumer Durables,,,
CHN,"Ability Opto-Electronics Technology Co., Ltd.",ROCO:3362,28.6,Medium ESG Risk,Technology Hardware,,,
FRA,Abivax SA,PAR:ABVX,33.3,High ESG Risk,Pharmaceuticals,,,
KOR,"ABL Bio, Inc.",KRX:298380,37.1,High ESG Risk,Pharmaceuticals,,,
KOR,"ABLE C&C Co., Ltd.",KRX:078520,33.6,High ESG Risk,Household Products,,,
USA,"ABM Industries, Inc.",NYS:ABM,13.6,Low ESG Risk,Commercial Services,,,
NLD,ABN AMRO Bank NV,AMS:ABN,21.8,Medium ESG Risk,Banks,,,
PHL,"Aboitiz Equity Ventures, Inc.",PHS:AEV,45.6,Severe ESG Risk,Utilities,,,
PHL,Aboitiz Power Corp.,PHS:AP,28.7,Medium ESG Risk,Utilities,,,
DEU,ABOUT YOU Holding SE,ETR:YOU,16.2,Low ESG Risk,Retailing,,,
GBR,abrdn European Logistics Income Plc,LON:ASLI,32.1,High ESG Risk,Diversified Financials,,,
GBR,abrdn Property Income Trust Ltd.,LON:API,11.3,Low ESG Risk,Real Estate,,,
ZAF,Absa Group Ltd.,JSE:ABG,27.7,Medium ESG Risk,Banks,,,
THA,Absolute Clean Energy PCL,BKK:ACE,19.7,Low ESG Risk,Utilities,,,
ARE,Abu Dhabi Aviation Co.,ADS:ADAVIATION,31.9,High ESG Risk,Transportation,,,
