ISO (3),Companies,Symbols,Ratings,Risk,Industry,Environmental score,Social score,Governance score
USA,The Walt Disney Co.,NYS:DIS,15.7,Low ESG Risk,Media,0.0,9.0,6.7
USA,"Cisco Systems, Inc.",NAS:CSCO,13.7,Low ESG Risk,Technology Hardware,0.4,6.9,6.5
USA,"QUALCOMM, Inc.",NAS:QCOM,15.6,Low ESG Risk,Semiconductors,5.3,4.5,5.6
USA,Intel Corp.,NAS:INTC,17.3,Low ESG Risk,Semiconductors,4.9,7.3,6.6
USA,General Electric Co.,NYS:GE,36.9,High ESG Risk,Industrial Conglomerates,14.2,15.4,10.9
USA,"Intuit, Inc.",NAS:INTU,17.9,Low ESG Risk,Software & Services,1.0,10.7,4.7
USA,International Business Machines Corp.,NYS:IBM,14.3,Low ESG Risk,Software & Services,1.8,6.2,6.1
USA,"Applied Materials, Inc.",NAS:AMAT,12.8,Low ESG Risk,Semiconductors,4.5,3.0,5.3
USA,Comcast Corp.,NAS:CMCSA,23.1,Medium ESG Risk,Telecommunication Services,4.0,10.9,8.2
USA,"Verizon Communications, Inc.",NYS:VZ,18.7,Low ESG Risk,Telecommunication Services,3.7,9.6,5.4
USA,Pfizer Inc.,NYS:PFE,18.7,Low ESG Risk,Pharmaceuticals,2.1,12.9,9.6
USA,Union Pacific Corp.,NYS:UNP,21.6,Medium ESG Risk,Transportation,7.3,10.6,5.6
USA,"Blackstone, Inc.",NYS:BX,25.0,Medium ESG Risk,Diversified Financials,2.5,9.6,11.3
USA,"NIKE, Inc.",NYS:NKE,18.9,Low ESG Risk,Textiles & Apparel,3.0,10.0,6.7
CAN,Royal Bank of Canada,TSE:RY,25.8,Medium ESG Risk,Banks,1.9,13.6,8.9
USA,"Lowe's Companies, Inc.",NYS:LOW,11.9,Low ESG Risk,Retailing,3.3,5.3,3.2
USA,"Intuitive Surgical, Inc.",NAS:ISRG,21.1,Medium ESG Risk,Healthcare,3.7,9.6,7.8
USA,"S&P Global, Inc.",NYS:SPGI,13.0,Low ESG Risk,Diversified Financials,0.0,6.2,6.8
USA,"United Parcel Service, Inc.",NYS:UPS,18.6,Low ESG Risk,Transportation,4.2,8.9,5.5
USA,"Honeywell International, Inc.",NAS:HON,28.1,Medium ESG Risk,Industrial Conglomerates,11.0,10.6,7.0
USA,"The Goldman Sachs Group, Inc.",NYS:GS,25.3,Medium ESG Risk,Diversified Financials,0.9,12.8,11.8
USA,"Prologis, Inc.",NYS:PLD,10.3,Low ESG Risk,Real Estate,2.7,2.5,5.0
USA,Lam Research Corp.,NAS:LRCX,13.0,Low ESG Risk,Semiconductors,4.5,4.0,5.1
USA,"BlackRock, Inc.",NYS:BLK,19.6,Low ESG Risk,Diversified Financials,0.9,7.4,10.0
USA,"AT&T, Inc.",NYS:T,21.5,Medium ESG Risk,Telecommunication Services,3.3,13.9,6.7
USA,The Charles Schwab Corp.,NYS:SCHW,23.0,Medium ESG Risk,Diversified Financials,2.4,8.9,11.9
USA,"Booking Holdings, Inc.",NAS:BKNG,19.2,Low ESG Risk,Software & Services,1.0,10.1,8.1
USA,"NextEra Energy, Inc.",NYS:NEE,23.1,Medium ESG Risk,Utilities,9.4,8.3,5.6
USA,"Elevance Health, Inc.",NYS:ELV,10.6,Low ESG Risk,Healthcare,0.1,6.0,5.3
USA,"Citigroup, Inc.",NYS:C,26.9,Medium ESG Risk,Banks,1.8,13.8,13.7
